# Time Mag MagErr
3042.409183 -0.056316 0.000814
3042.411497 -0.053050 0.000816
3042.413812 -0.047828 0.000818
3042.416127 -0.045479 0.000819
3042.418442 -0.039418 0.000822
3042.420757 -0.037162 0.000823
3042.423071 -0.032455 0.000825
3042.425386 -0.027986 0.000827
3042.427701 -0.022344 0.000830
3042.430016 -0.019481 0.000831
3042.432331 -0.013461 0.000834
3042.434645 -0.009134 0.000836
3042.436960 -0.004638 0.000838
3042.439275 -0.000291 0.000840
3042.441590 0.004583 0.000842
3042.443905 0.009031 0.000844
3042.446219 0.014971 0.000847
3042.448534 0.020478 0.000850
3042.450849 0.022740 0.000851
3042.453164 0.028692 0.000853
3042.455478 0.033485 0.000856
3042.457793 0.037306 0.000858
3042.460108 0.043141 0.000860
3042.462423 0.046893 0.000862
3042.464738 0.048723 0.000863
3042.467052 0.053953 0.000865
3042.469367 0.058732 0.000868
3042.471682 0.062331 0.000870
3042.473997 0.065089 0.000871
3042.476312 0.068141 0.000872
3042.478626 0.072261 0.000875
3042.480941 0.077027 0.000877
3042.483256 0.078507 0.000878
3042.485571 0.083280 0.000880
3042.487885 0.083677 0.000880
3042.490200 0.087149 0.000882
3042.492515 0.091956 0.000885
3042.494830 0.093586 0.000885
3042.497145 0.095783 0.000886
3042.499459 0.096958 0.000887
3042.501774 0.101240 0.000889
3042.504089 0.102393 0.000889
3042.506404 0.102300 0.000890
3042.508719 0.103440 0.000890
3042.511033 0.104426 0.000890
3042.513348 0.104449 0.000891
3042.515663 0.104714 0.000891
3042.517978 0.104693 0.000891
3042.520293 0.104171 0.000891
3042.522607 0.102590 0.000890
3042.524922 0.100783 0.000889
3042.527237 0.098197 0.000887
3042.529552 0.094537 0.000886
3042.531866 0.093706 0.000885
3042.534181 0.088399 0.000883
3042.536496 0.083200 0.000880
3042.538811 0.079954 0.000879
3042.541126 0.072735 0.000875
3042.543440 0.066608 0.000872
3042.545755 0.059284 0.000869
3042.548070 0.053367 0.000865
3042.550385 0.043797 0.000861
3042.552700 0.038250 0.000859
3042.555014 0.029781 0.000854
3042.557329 0.019889 0.000849
3042.559644 0.013098 0.000846
3042.561959 0.006694 0.000843
3042.564274 -0.002289 0.000839
3042.566588 -0.009766 0.000835
3042.568903 -0.016488 0.000832
3042.571218 -0.024036 0.000829
3042.573533 -0.028210 0.000827
3042.575847 -0.034839 0.000824
3042.578162 -0.040006 0.000821
3042.580477 -0.043457 0.000820
3042.582792 -0.050144 0.000817
3042.585107 -0.054975 0.000815
3042.587421 -0.061255 0.000812
3042.589736 -0.065561 0.000810
3042.592051 -0.069574 0.000808
3042.594366 -0.074942 0.000806
3042.596681 -0.077456 0.000805
3042.598995 -0.082017 0.000803
3042.601310 -0.085808 0.000801
3042.603625 -0.086206 0.000801
3042.605940 -0.088684 0.000799
3042.608255 -0.090816 0.000799
3042.610569 -0.092965 0.000798
3042.612884 -0.094264 0.000797
3042.615199 -0.096712 0.000796
3042.617514 -0.097486 0.000796
3042.619828 -0.096874 0.000796
3042.622143 -0.097685 0.000795
3042.624458 -0.096346 0.000796
3042.626773 -0.094509 0.000798
3042.629088 -0.093365 0.000798
3042.631402 -0.090393 0.000799
3042.633717 -0.089369 0.000799
3042.636032 -0.088295 0.000800
3042.638347 -0.086146 0.000801
3042.640662 -0.082065 0.000802
3042.642976 -0.081123 0.000803
3042.645291 -0.076488 0.000805
3042.647606 -0.074173 0.000806
3042.649921 -0.070607 0.000808
3042.652236 -0.067843 0.000809
3042.654550 -0.061821 0.000811
