# Time Mag MagErr
3535.145883 0.160681 0.000594
3535.148198 0.161290 0.000594
3535.150513 0.161740 0.000595
3535.152828 0.163938 0.000595
3535.155143 0.162970 0.000595
3535.157458 0.162612 0.000595
3535.159773 0.162604 0.000595
3535.162088 0.160116 0.000594
3535.164402 0.159756 0.000594
3535.166717 0.156300 0.000593
3535.169032 0.153377 0.000592
3535.171347 0.150846 0.000591
3535.173662 0.148013 0.000590
3535.175977 0.143488 0.000589
3535.178292 0.139584 0.000587
3535.180607 0.135075 0.000586
3535.182921 0.130412 0.000585
3535.185236 0.123850 0.000583
3535.187551 0.116539 0.000580
3535.189866 0.108688 0.000578
3535.192181 0.099707 0.000575
3535.194496 0.088905 0.000572
3535.196811 0.077582 0.000568
3535.199126 0.065331 0.000564
3535.201441 0.051039 0.000560
3535.203755 0.035974 0.000555
3535.206070 0.018662 0.000550
3535.208385 0.000722 0.000545
3535.210700 -0.018728 0.000540
3535.213015 -0.038124 0.000534
3535.215330 -0.056348 0.000529
3535.217645 -0.074888 0.000523
3535.219960 -0.092663 0.000519
3535.222275 -0.107805 0.000515
3535.224589 -0.118724 0.000511
3535.226904 -0.128368 0.000509
3535.229219 -0.134409 0.000507
3535.231534 -0.136845 0.000507
3535.233849 -0.137085 0.000507
3535.236164 -0.135071 0.000507
3535.238479 -0.133097 0.000508
3535.240794 -0.133159 0.000507
3535.243108 -0.133056 0.000508
3535.245423 -0.136959 0.000507
3535.247738 -0.143370 0.000505
3535.250053 -0.149729 0.000503
3535.252368 -0.154462 0.000502
3535.254683 -0.158016 0.000501
3535.256998 -0.160563 0.000500
3535.259313 -0.161808 0.000500
3535.261628 -0.163411 0.000500
3535.263942 -0.161457 0.000500
3535.266257 -0.160293 0.000500
3535.268572 -0.158397 0.000501
3535.270887 -0.154792 0.000502
3535.273202 -0.151618 0.000503
3535.275517 -0.147278 0.000504
3535.277832 -0.142688 0.000505
3535.280147 -0.139600 0.000506
3535.282462 -0.134199 0.000507
3535.284776 -0.128986 0.000509
3535.287091 -0.123517 0.000510
3535.289406 -0.118283 0.000512
3535.291721 -0.113531 0.000513
3535.294036 -0.107355 0.000515
